iter	Logloss
303	0.3094800169
304	0.3093845389
305	0.309330643
306	0.309248543
307	0.3091483481
308	0.3090383394
309	0.3089602277
310	0.3088502799
311	0.3087637558
312	0.3086754055
313	0.308595227
314	0.3084940304
315	0.3084255169
316	0.3083538481
317	0.3082497192
318	0.3081688769
319	0.3080643807
320	0.3079838237
321	0.3078931737
322	0.3077985891
323	0.3076944167
324	0.3076246357
325	0.3075116862
326	0.3074187559
327	0.3073036389
328	0.3072471872
329	0.307144349
330	0.3070605301
331	0.3069743697
332	0.3068755667
333	0.3068082153
334	0.3067328644
335	0.3066521392
336	0.3065764815
337	0.3064876842
338	0.306370214
339	0.3062656664
340	0.3061929551
341	0.3060900959
342	0.3060320616
343	0.3059439485
344	0.3058541046
345	0.3057918896
346	0.3056964448
347	0.3056001336
348	0.3055390311
349	0.3054564834
350	0.305373536
351	0.3052818484
352	0.3051935371
353	0.3050937422
354	0.3050073344
355	0.3049372249
356	0.3048743259
357	0.3047768072
358	0.3046694939
359	0.3046012792
360	0.3044908009
361	0.3043970537
362	0.3043065087
363	0.3042126494
364	0.3041188626
365	0.3040165735
366	0.3039561351
367	0.3038620841
368	0.3037635466
369	0.3036630072
370	0.303566038
371	0.3034640705
372	0.3033807214
373	0.303276386
374	0.3031885962
375	0.3031105575
376	0.3030137253
377	0.3029276234
378	0.3028448499
379	0.3027609443
380	0.3026748012
381	0.3025844329
382	0.3025353538
383	0.3024516984
384	0.3023462218
385	0.3022413857
386	0.3021582402
387	0.3020698593
388	0.3019864381
389	0.3019212478
390	0.3018427372
391	0.3017385824
392	0.3016917721
393	0.301584617
394	0.3015207305
395	0.301440435
396	0.3013508374
397	0.3012514691
398	0.3011675797
399	0.3010639544
