iter	Logloss
0	0.6173976097
1	0.5626958867
2	0.5178279384
3	0.4807604169
4	0.4550860837
5	0.4352146265
6	0.4170136159
7	0.40387455
8	0.3933472568
9	0.3850800491
10	0.3781080993
11	0.3723565339
12	0.36823643
13	0.3648885689
14	0.3620172932
15	0.3590169927
16	0.3565862652
17	0.3547845129
18	0.3533936295
19	0.3518884369
20	0.3508352368
21	0.3498934753
22	0.3488455937
23	0.3477817599
24	0.3469872132
25	0.3463841494
26	0.3456893468
27	0.3451086976
28	0.3445022399
29	0.3441315848
30	0.3437691525
31	0.3434066654
32	0.3430333912
33	0.3427888211
34	0.3424990566
35	0.3422553301
36	0.3419626831
37	0.34169724
38	0.3413960461
39	0.3411901642
40	0.3409966432
41	0.3407908198
42	0.340593686
43	0.3403264778
44	0.3400927557
45	0.3398918628
46	0.3396909492
47	0.3395423003
48	0.3393259338
49	0.3391638434
50	0.3390142816
51	0.3388335319
52	0.3386889599
53	0.3385199321
54	0.3383365445
55	0.3381739668
56	0.3380147893
57	0.3378237605
58	0.3376398344
59	0.3375124667
60	0.3373253497
61	0.3371958858
62	0.3370339312
63	0.3368962414
64	0.3367296776
65	0.3365898149
66	0.3364301585
67	0.3363176965
68	0.3361663589
69	0.3359539177
70	0.3357863733
71	0.3356535542
72	0.335458136
73	0.3353318456
74	0.3351865331
75	0.3350254215
76	0.3349058345
77	0.3348038858
78	0.3346942046
79	0.3345852143
80	0.3344869033
81	0.3343191893
82	0.3341659944
83	0.3340329115
84	0.3339181277
85	0.3337993201
86	0.333683656
87	0.3335294631
88	0.3334268381
89	0.3333312055
90	0.3332300959
91	0.3331284819
92	0.3329846022
93	0.332889906
94	0.332786116
95	0.3326800218
96	0.3325641038
97	0.3324148451
98	0.332297714
99	0.3321533386
100	0.3320491817
101	0.3319311553
102	0.3317386894
103	0.3316328323
104	0.3315044673
105	0.3313502754
106	0.3312558309
107	0.3311273229
108	0.3310144194
109	0.3308895315
110	0.3307655439
111	0.3306237901
112	0.3304931177
113	0.3303939743
114	0.3303081897
115	0.3301658633
116	0.3300313339
117	0.3298878326
118	0.3297485364
119	0.3296235053
120	0.3295080106
121	0.3293784895
122	0.3292568982
123	0.3291412062
124	0.3290432307
125	0.3289100881
126	0.3287691431
127	0.3286143842
128	0.3284969288
129	0.3283606828
130	0.3282758552
131	0.3281549355
132	0.3280151399
133	0.3278526806
134	0.327755435
135	0.3276114104
136	0.3275149693
137	0.3273784255
138	0.327276756
139	0.3271566221
140	0.3269489225
141	0.3267920111
142	0.3266772473
143	0.3265654149
144	0.3264441658
145	0.3263014599
146	0.3261967471
147	0.3260742638
148	0.32595531
149	0.3258277654
150	0.3256937739
151	0.3255637249
152	0.3254332836
153	0.3252422076
154	0.3251127189
155	0.325001144
156	0.3248808764
157	0.3247978995
158	0.3246598319
159	0.3245391544
160	0.3244474243
161	0.3243110122
162	0.3241873319
163	0.324075665
164	0.3239522635
165	0.3238160207
166	0.3236712347
167	0.323540498
168	0.323460026
169	0.323358015
170	0.3232692039
171	0.3231544846
172	0.3230100095
173	0.3229118319
174	0.3228091145
175	0.3226858038
176	0.3225639898
177	0.3224341653
178	0.3223328074
179	0.3222249731
180	0.3221204317
181	0.3220329125
182	0.3218956019
183	0.3217758965
184	0.3216839927
185	0.3215780971
186	0.3214444867
187	0.3213315296
188	0.32118908
189	0.3210865874
190	0.3209859433
191	0.3208735077
192	0.3207724903
193	0.3206654415
194	0.3205222974
195	0.3204023178
196	0.3202920771
197	0.3201802614
198	0.3200809939
199	0.3199888931
200	0.3199042089
201	0.3198007969
202	0.3197095297
203	0.3195887507
204	0.3194820284
205	0.3193676763
206	0.3192173453
207	0.3191215744
208	0.3190080605
209	0.318891355
210	0.3188050267
211	0.3186878972
212	0.3185854936
213	0.318500215
214	0.318397288
215	0.3182989049
216	0.3181936273
217	0.3180917224
218	0.3179976932
219	0.3178798184
220	0.3177582911
221	0.3176413284
222	0.317563314
223	0.3174605349
224	0.3173855451
225	0.3172933444
226	0.3171713828
227	0.317069869
228	0.3169416211
229	0.3168447297
230	0.3167344351
231	0.3165913104
232	0.3165235718
233	0.3164344419
234	0.3163387213
235	0.3162407837
236	0.3161182763
237	0.3159963538
238	0.3158606076
239	0.3157312179
240	0.3156040907
241	0.3154758714
242	0.3154033748
243	0.3153080096
244	0.3152372037
245	0.3151390989
246	0.3150501797
247	0.3149481921
248	0.3148452267
249	0.3147211565
250	0.3146024675
251	0.3145043927
252	0.3144045623
253	0.3142928681
254	0.3141831128
255	0.3140868411
256	0.3139807212
257	0.3139059653
258	0.3138052252
259	0.3137115046
260	0.3136077407
261	0.3135022184
262	0.3134218938
263	0.3133202426
264	0.3132151901
265	0.313132299
266	0.313028116
267	0.3129202737
268	0.3128152443
269	0.3127170777
270	0.3126189855
271	0.3125423264
272	0.3124579531
273	0.3123439712
274	0.3122428446
275	0.3121024878
276	0.312020432
277	0.3119373763
278	0.3118748549
279	0.3117631114
280	0.3116623558
281	0.3115970147
282	0.3115240808
283	0.3114330345
284	0.3113335972
285	0.3112142551
286	0.3111196407
287	0.3110321537
288	0.3109438666
289	0.3108283644
290	0.3107224849
291	0.3106436075
292	0.3105470028
293	0.3104429922
294	0.3103417679
295	0.3102471026
296	0.3101615338
297	0.3100584139
298	0.3099573415
299	0.3098619089
300	0.3097585032
301	0.3096732193
302	0.3095777266
